Event,Location,Start,End
Hayley Kiyoko,"Galvanizers SWG3, Scotland, United Kingdom, G3 8QG",2019-02-01T19:00:00+00:00,2019-02-01T20:00:00+00:00
Vein,"Garage 2 (G2), 474 Sauchiehall St, Glasgow G2 3LG, UK",2019-02-15T19:00:00+00:00,2019-02-15T23:30:00+00:00
Mayday Parade / The Wonder Years,"O2 Academy Glasgow, 121 Eglinton St, Glasgow G5 9NT, UK",2019-02-16T19:00:00+00:00,2019-02-16T23:00:00+00:00
The Armed,"The Hug and Pint, 171 Great Western Rd, Glasgow G4 9AW, UK",2019-03-01T19:00:00+00:00,2019-03-01T22:30:00+00:00
Self Esteem,"Stereo, 22-28 Renfield Ln, Glasgow G2 6PH, UK",2019-03-15T19:30:00+00:00,2019-03-15T23:00:00+00:00
Adam Betts,"The Hug and Pint, 171 Great Western Rd, Glasgow G4 9AW, UK",2019-03-25T19:30:00+00:00,2019-03-25T23:00:00+00:00
SLOWLIGHT,"Leith Depot, 140 Leith Walk, Edinburgh EH6 5DT, UK",2019-04-04T18:30:00+00:00,2019-04-04T22:00:00+00:00
Joyce Manor,"King Tut's Wah Wah Hut, Scotland, United Kingdom, G2 5RL",2019-04-15T19:30:00+00:00,2019-04-15T20:30:00+00:00
Loyle Carner,"The Caves, 8-10 Niddry St S, Edinburgh EH1 1NS, UK",2019-04-28T18:00:00+00:00,2019-04-28T22:00:00+00:00
Martha,"Mono, 12, Kings Court, Glasgow G1 5RB, UK",2019-05-03T18:30:00+00:00,2019-05-03T22:00:00+00:00
C Duncan,"Summerhall, 1 Summerhall, Edinburgh EH9 1PL, UK",2019-05-10T18:00:00+00:00,2019-05-10T22:00:00+00:00
Employed To Serve,"Classic Grand, 18 Jamaica St, Glasgow G1 4QD, UK",2019-05-11T18:30:00+00:00,2019-05-11T22:00:00+00:00
Open Mike Eagle,"The Art School: GSA Students' Association, 20 Scott St, Glasgow G3 6PE, UK",2019-05-19T18:30:00+00:00,2019-05-19T22:30:00+00:00
Tangled Hair,"Broadcast, 427 Sauchiehall St, Glasgow G2 3LG, UK",2019-06-20T18:00:00+00:00,2019-06-20T22:00:00+00:00
Jamie Lenman: Road To Lenmania,"Saint Luke's, Scotland, United Kingdom, G40 2JZ",2019-07-05T18:00:00+00:00,2019-07-05T19:00:00+00:00
2000trees 2019,"Upcote Farm, AddressGL54 4BL Withington, Withington, GB, GL54 4BL",2019-07-11T10:00:00+00:00,2019-07-13T14:00:00+00:00
Invalids / Floral,"The Hug and Pint, 171 Great Western Rd, Glasgow G4 9AW, UK",2019-08-08T19:00:00+00:00,2019-08-08T22:00:00+00:00
ArcTanGent 2019,"Fernhill Farm, Cheddar RoadBS40 6LD Bristol, Bristol, England, GB, BS40 6LD",2019-08-15T10:00:00+00:00,2019-08-17T14:00:00+00:00
Slowlight,"The Old Hairdresser's, Renfield Ln, Glasgow G2 5AR, UK",2019-08-30T18:00:00+00:00,2019-08-30T22:00:00+00:00
Deafheaven,SO36,2019-09-22T18:30:00+00:00,2019-09-22T22:30:00+00:00
Cultdreams,"BLOC+, 117 Bath St, Glasgow G2 2SZ, UK",2019-09-24T18:30:00+00:00,2019-09-24T22:00:00+00:00
BSM Big Day Out 2,,2019-09-28T00:00:00+00:00,2019-09-29T00:00:00+00:00
EMPEROR X,"Sebright Arms, 31-35 Coate St, London E2 9AG, England, United Kingdom, E2 9AG",2019-09-29T18:30:00+00:00,2019-09-29T19:30:00+00:00
Deafheaven,"The Garage, 490 Sauchiehall St, Glasgow G2 3LW, UK",2019-10-01T18:30:00+00:00,2019-10-01T22:00:00+00:00
Pom Poko + Orchards,"The Mash House, 37 Guthrie St, Edinburgh EH1 1JQ, UK",2019-10-13T18:00:00+00:00,2019-10-13T21:00:00+00:00
Oso Oso / Prince Daddy,"The Hug and Pint, 171 Great Western Rd, Glasgow G4 9AW, UK",2019-10-20T18:30:00+00:00,2019-10-20T22:30:00+00:00
Self Esteem,"The Mash House, 37 Guthrie St, Edinburgh EH1 1JQ, UK",2019-10-27T19:30:00+00:00,2019-10-27T23:00:00+00:00
Diving Station,"Sneaky Pete's, 73 Cowgate, Edinburgh EH1 1JW, UK",2019-10-28T19:00:00+00:00,2019-10-28T22:30:00+00:00
Dawn Ray'd,"Henrys Cellar Bar, 16A Morrison St, Edinburgh EH3 8BJ, UK",2019-11-01T19:30:00+00:00,2019-11-01T23:00:00+00:00
Martha,"Slay, 1263 Dumbarton Rd, Glasgow G14 9UU, UK",2019-11-02T19:30:00+00:00,2019-11-02T23:00:00+00:00
Lizzo: Cuz I love you too tour,"O2 Academy Glasgow, Scotland, United Kingdom, G5 9NT",2019-11-08T19:00:00+00:00,2019-11-08T20:00:00+00:00
Shura,"Òran Mór, Top of, Byres Rd, Glasgow G12 8QX, UK",2019-11-17T19:30:00+00:00,2019-11-17T22:30:00+00:00
Jamie Lenman,"The Caves, 8-10 Niddry St S, Edinburgh EH1 1NS, UK",2019-11-24T19:00:00+00:00,2019-11-24T22:00:00+00:00
Overo / Punch On / Kaddish / Slowlight,"The Old Toll Bar, 1 Paisley Rd W, Glasgow G51 1LF, UK",2019-11-28T19:00:00+00:00,2019-11-28T22:30:00+00:00
The Xcerts,"King Tut's Wah Wah Hut, Scotland, United Kingdom, G2 5RL",2019-12-06T20:30:00+00:00,2019-12-06T21:30:00+00:00
We Were Promised Jetpacks,"Galvanizers SWG3, Scotland, United Kingdom, G3 8QG",2019-12-07T19:00:00+00:00,2019-12-07T20:00:00+00:00
MUNA,"Òran Mór, Top of, Byres Rd, Glasgow G12 8QX, UK",2019-12-09T19:00:00+00:00,2019-12-09T23:00:00+00:00
Slowlight,"Leith Depot, 140 Leith Walk, Edinburgh EH6 5DT, UK",2019-12-15T19:00:00+00:00,2019-12-15T23:00:00+00:00
